"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-03","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-04","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-05","76","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-06","84","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-07","87","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-08","73","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-09","75","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-10","71","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-11","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-12","74","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-13","81","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-14","74","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-15","69","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-16","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-17","91","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-18","91","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-19","93","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-20","79","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-21","73","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-22","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-23","75","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-24","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-25","79","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-26","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-27","71","58"
