"STATION","NAME","DATE","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-28","78","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-29","68","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-30","76","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-31","76","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-01","76","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-02","76","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-03","80","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-04","81","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-05","83","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-06","92","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-07","84","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-08","77","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-09","82","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-10","82","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-11","95","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-12","99","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-13","91","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-14","86","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-15","87","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-16","94","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-17","93","68"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-18","93","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-19","79","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-20","81","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-21","72","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-22","73","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-23","72","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-24","81","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-25","88","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-26","83","64"
